n_cap,stime,etime,content
1,"00:00:02,500",,陆总
1,"00:00:02,500","00:00:02,533",陆总
1,"00:00:02,500","00:00:02,566",陆总
1,"00:00:02,500","00:00:02,600",陆总
1,"00:00:02,500","00:00:02,633",陆总
1,"00:00:02,500","00:00:02,666",陆总
1,"00:00:02,500","00:00:02,700",陆总
1,"00:00:02,500","00:00:02,733",陆总
1,"00:00:02,500","00:00:02,766",陆总
1,"00:00:02,500","00:00:02,799",陆总
1,"00:00:02,500","00:00:02,833",陆总
1,"00:00:02,500","00:00:02,866",陆总
1,"00:00:02,500","00:00:02,899",陆总
1,"00:00:02,500","00:00:02,933",陆总
1,"00:00:02,500","00:00:02,966",陆总
1,"00:00:02,500","00:00:03,000",陆总
1,"00:00:02,500","00:00:03,033",陆总
1,"00:00:02,500","00:00:03,066",陆总
1,"00:00:02,500","00:00:03,100",陆总
1,"00:00:02,500","00:00:03,133",陆总
1,"00:00:02,500","00:00:03,166",陆总
1,"00:00:02,500","00:00:03,200",陆总
1,"00:00:02,500","00:00:03,233",陆总
1,"00:00:02,500","00:00:03,266",陆总
2,"00:00:03,399","00:00:03,266",刚才我说
2,"00:00:03,399","00:00:03,433",刚才我说
2,"00:00:03,399","00:00:03,466",刚才我说
2,"00:00:03,399","00:00:03,500",刚才我说
2,"00:00:03,399","00:00:03,533",刚才我说
2,"00:00:03,399","00:00:03,566",刚才我说
2,"00:00:03,399","00:00:03,600",刚才我说
2,"00:00:03,399","00:00:03,633",刚才我说
2,"00:00:03,399","00:00:03,666",刚才我说
2,"00:00:03,399","00:00:03,700",刚才我说
2,"00:00:03,399","00:00:03,733",刚才我说
2,"00:00:03,399","00:00:03,766",刚才我说
2,"00:00:03,399","00:00:03,799",刚才我说
2,"00:00:03,399","00:00:03,833",刚才我说
2,"00:00:03,399","00:00:03,866",刚才我说
2,"00:00:03,399","00:00:03,899",刚才我说
2,"00:00:03,399","00:00:03,933",刚才我说
3,"00:00:03,966","00:00:03,933",在房子里等夫人
3,"00:00:03,966","00:00:04,000",在房子里等夫人
3,"00:00:03,966","00:00:04,033",在房子里等夫人
3,"00:00:03,966","00:00:04,066",在房子里等夫人
3,"00:00:03,966","00:00:04,099",在房子里等夫人
3,"00:00:03,966","00:00:04,133",在房子里等夫人
3,"00:00:03,966","00:00:04,166",在房子里等夫人
3,"00:00:03,966","00:00:04,200",在房子里等夫人
3,"00:00:03,966","00:00:04,233",在房子里等夫人
3,"00:00:03,966","00:00:04,266",在房子里等夫人
3,"00:00:03,966","00:00:04,299",在房子里等夫人
3,"00:00:03,966","00:00:04,333",在房子里等夫人
3,"00:00:03,966","00:00:04,366",在房子里等夫人
3,"00:00:03,966","00:00:04,400",在房子里等夫人
3,"00:00:03,966","00:00:04,433",在房子里等夫人
3,"00:00:03,966","00:00:04,466",在房子里等夫人
3,"00:00:03,966","00:00:04,500",在房子里等夫人
3,"00:00:03,966","00:00:04,533",在房子里等夫人
3,"00:00:03,966","00:00:04,566",在房子里等夫人
3,"00:00:03,966","00:00:04,599",在房子里等夫人
3,"00:00:03,966","00:00:04,633",在房子里等夫人
3,"00:00:03,966","00:00:04,666",在房子里等夫人
3,"00:00:03,966","00:00:04,700",在房子里等夫人
3,"00:00:03,966","00:00:04,733",在房子里等夫人
3,"00:00:03,966","00:00:04,766",在房子里等夫人
4,"00:00:04,799","00:00:04,766",不就好了
4,"00:00:04,799","00:00:04,833",不就好了
4,"00:00:04,799","00:00:04,866",不就好了
4,"00:00:04,799","00:00:04,900",不就好了
4,"00:00:04,799","00:00:04,933",不就好了
4,"00:00:04,799","00:00:04,966",不就好了
4,"00:00:04,799","00:00:05,000",不就好了
4,"00:00:04,799","00:00:05,033",不就好了
4,"00:00:04,799","00:00:05,066",不就好了
4,"00:00:04,799","00:00:05,099",不就好了
4,"00:00:04,799","00:00:05,133",不就好了
4,"00:00:04,799","00:00:05,166",不就好了
4,"00:00:04,799","00:00:05,200",不就好了
4,"00:00:04,799","00:00:05,233",不就好了
4,"00:00:04,799","00:00:05,266",不就好了
4,"00:00:04,799","00:00:05,299",不就好了
4,"00:00:04,799","00:00:05,333",不就好了
4,"00:00:04,799","00:00:05,366",不就好了
5,"00:00:07,766","00:00:05,366",你难道
5,"00:00:07,766","00:00:07,799",你难道
5,"00:00:07,766","00:00:07,833",你难道
5,"00:00:07,766","00:00:07,866",你难道
5,"00:00:07,766","00:00:07,900",你难道
5,"00:00:07,766","00:00:07,933",你难道
5,"00:00:07,766","00:00:07,966",你难道
5,"00:00:07,766","00:00:08,000",你难道
5,"00:00:07,766","00:00:08,033",你难道
5,"00:00:07,766","00:00:08,066",你难道
5,"00:00:07,766","00:00:08,099",你难道
5,"00:00:07,766","00:00:08,133",你难道
5,"00:00:07,766","00:00:08,166",你难道
5,"00:00:07,766","00:00:08,199",你难道
5,"00:00:07,766","00:00:08,233",你难道
5,"00:00:07,766","00:00:08,266",你难道
5,"00:00:07,766","00:00:08,300",你难道
5,"00:00:07,766","00:00:08,333",你难道
5,"00:00:07,766","00:00:08,366",你难道
5,"00:00:07,766","00:00:08,400",你难道
6,"00:00:09,033","00:00:08,400",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,066",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,099",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,133",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,166",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,199",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,233",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,266",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,300",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,333",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,366",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,400",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,433",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,466",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,500",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,533",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,566",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,599",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,633",要我在她那个猪圈里
6,"00:00:09,033","00:00:09,666",要我在她那个猪圈里
