n_cap,stime,etime,content
117,"00:03:12,599","00:03:14,633",你是不是整容失败了
118,"00:03:14,966","00:03:16,099",我真的没有
119,"00:03:16,133","00:03:17,566",我的脸好好的呢
120,"00:03:17,599","00:03:17,933",嗯好好的
121,"00:03:17,966","00:03:17,966",NORD嗯好好的
122,"00:03:18,000","00:03:18,033",嗯好好的
123,"00:03:18,066","00:03:18,066",ORP嗯好好的
124,"00:03:18,099","00:03:18,099",嗯好好的
125,"00:03:18,133","00:03:18,133",RD嗯好好的
126,"00:03:18,166","00:03:18,166",ZMIAD嗯好好的
127,"00:03:18,199","00:03:19,133",嗯好好的
128,"00:03:19,400","00:03:20,533",那你把口罩摘了
129,"00:03:20,566","00:03:21,766",让奶奶看一下
130,"00:03:21,966","00:03:23,433",戴着口罩见长辈
131,"00:03:23,966","00:03:25,300",让老人家担心
132,"00:03:25,500","00:03:27,066",你也真够孝顺
133,"00:03:27,900","00:03:29,433",这10个亿聘礼
134,"00:03:29,466","00:03:31,033",娶回来的儿媳妇
135,"00:03:31,400","00:03:32,966",果然架子很大
136,"00:03:33,666","00:03:35,433",果然是小门小户出来
137,"00:03:35,466","00:03:36,266",不懂规矩
138,"00:03:36,366","00:03:37,133",哎
139,"00:03:37,533","00:03:38,266",别生气
140,"00:03:38,300","00:03:40,099",小溪也许真的是
141,"00:03:40,133","00:03:41,433",需要戴口罩
142,"00:03:41,800","00:03:43,099",她也是为了给
143,"00:03:43,133","00:03:44,666",知行留个好印象
144,"00:03:45,500","00:03:46,266",没什么事
145,"00:03:46,300","00:03:47,666",就把口罩摘下来
146,"00:03:48,266","00:03:49,500",别让奶奶担心
147,"00:03:50,066","00:03:50,766",小溪啊
148,"00:03:50,800","00:03:52,833",你就是整容失败了
149,"00:03:52,933","00:03:53,500",奶奶呀
150,"00:03:53,533","00:03:55,166",给你找最好的医生
151,"00:03:56,366","00:03:57,099",好吧
152,"00:04:12,766","00:04:14,300",你吓死奶奶了
153,"00:04:15,266","00:04:16,433",我还真以为你的脸
154,"00:04:16,466","00:04:17,233",出事了呢
155,"00:04:18,399","00:04:19,500",怎么会呢奶奶
156,"00:04:19,666","00:04:21,166",我的脸还是美美的
157,"00:04:22,366","00:04:23,533",哗众取宠
158,"00:04:23,800","00:04:26,100",你少说两句
159,"00:04:27,333","00:04:27,899",陆总
160,"00:04:27,933","00:04:29,666",您不觉得夫人像那个
161,"00:04:29,699","00:04:30,766",就是那个那个
162,"00:04:30,966","00:04:31,699",糟糕
163,"00:04:31,966","00:04:33,300",我忘记陆总有脸盲症了
164,"00:04:33,600","00:04:33,899",他都是看发型和看装分瓣人的
165,"00:04:33,933","00:04:34,433",他都是看发型和着装分辨人的
166,"00:04:34,466","00:04:34,466",也都是看发型和看装分瓣人的
167,"00:04:34,500","00:04:34,899",他都是看发型和着装分辨人的
168,"00:04:34,933","00:04:34,966",他都是看发型和看装分瓣人的
169,"00:04:35,000","00:04:35,633",他都是看发型和着看装分辨人的
170,"00:04:35,899","00:04:36,766",完了完了
171,"00:04:36,966","00:04:38,166",我竟然在大BOSS的痛点上
172,"00:04:38,199","00:04:39,033",疯狂蹦迪
173,"00:04:39,100","00:04:40,233",我不会马上被辞退吧
174,"00:04:48,699","00:04:49,566",我怎么不记得
175,"00:04:49,600","00:04:50,699",我生活中出现过
176,"00:04:50,733","00:04:51,500",这么做作的女人
177,"00:04:51,933","00:04:52,699",陆总
178,"00:04:53,266","00:04:53,899",您的脸盲症
179,"00:04:53,933","00:04:54,933",连夫人都看不清
180,"00:04:55,166","00:04:57,666",我还以为爱情总能赢
181,"00:04:57,699","00:04:58,766",你以为什么
182,"00:04:59,366","00:05:00,466",我告诉你
183,"00:05:00,600","00:05:02,133",你要是再说这种
184,"00:05:02,166","00:05:04,366",脑残的话悔辱我的耳朵
185,"00:05:05,199","00:05:06,699",我给你扔非洲挖矿去
186,"00:05:09,899","00:05:10,899",小溪走
187,"00:05:10,933","00:05:12,100",我们去吃饭吧
188,"00:05:12,133","00:05:14,133",别老在客厅啊
189,"00:05:19,933","00:05:21,233",哎知行啊
190,"00:05:21,666","00:05:22,033",你们为什么要终止
191,"00:05:22,066","00:05:22,133",你们为什么要终正
192,"00:05:22,166","00:05:22,466",你们为什么要终止
193,"00:05:22,500","00:05:22,533",你们为什么要终正
194,"00:05:22,566","00:05:23,066",你们为什么要终止
195,"00:05:23,100","00:05:24,433",和姜家的合作啊
196,"00:05:25,100","00:05:27,699",你是不是想离婚了
197,"00:05:27,733","00:05:28,433",奶奶
198,"00:05:31,466","00:05:33,300",哎呦我的心脏
199,"00:05:33,333","00:05:33,933",奶奶
200,"00:05:34,333","00:05:35,233",你没事吧
201,"00:05:37,866","00:05:38,766",哎呦我的心脏
202,"00:05:40,100","00:05:40,866",奶奶你没事吧
203,"00:05:41,133","00:05:43,100",小溪是多好的孩子呀
204,"00:05:43,333","00:05:44,366",你要是跟她离婚
205,"00:05:44,466","00:05:46,066",你肯定会后悔的
206,"00:05:46,166","00:05:46,699",不离婚
207,"00:05:46,733","00:05:47,666",绝对不离婚
208,"00:05:48,899","00:05:49,366",合同
209,"00:05:49,399","00:05:50,166",合同的事情
210,"00:05:50,199","00:05:51,699",是因为公司战略调整
211,"00:05:51,733","00:05:52,500",您放心
212,"00:05:52,966","00:05:53,733",那你给我保证
213,"00:05:53,933","00:05:54,633",我保证
214,"00:05:54,666","00:05:55,500",不许反悔
215,"00:05:55,733","00:05:56,566",不反悔
216,"00:05:56,699","00:05:56,833",好
217,"00:05:56,866","00:05:58,500",那我们去看看小溪去
218,"00:06:04,966","00:06:04,966",福
219,"00:06:10,100","00:06:11,033",今天天晚了
220,"00:06:11,100","00:06:12,033",你跟知行呢
221,"00:06:12,066","00:06:12,966",今天就睡到这
222,"00:06:13,199","00:06:14,100",住下来
223,"00:06:14,466","00:06:15,933",我就差扛着火车跑路了
224,"00:06:16,300","00:06:17,666",陆知行也不待见我
225,"00:06:17,966","00:06:19,466",他肯定会拒绝奶奶的
226,"00:06:20,266","00:06:21,033",嗯
227,"00:06:21,266","00:06:22,133",听奶奶的
228,"00:06:22,199","00:06:23,433",今天晚上不折腾
229,"00:06:24,600","00:06:27,233",陆知行今天吃错药了
230,"00:06:28,733","00:06:29,566",小溪啊
231,"00:06:29,699","00:06:31,333",奶奶给你熬了补汤
232,"00:06:31,366","00:06:32,633",你赶紧把它喝下去
233,"00:06:33,000","00:06:34,566",好好的把身体养好了
234,"00:06:34,600","00:06:35,466",让奶奶
235,"00:06:35,500","00:06:37,066",早日抱上重孙子
236,"00:06:38,866","00:06:39,433",来
237,"00:06:59,300","00:07:00,500",好好好
238,"00:07:01,100","00:07:01,666",奶奶呀
239,"00:07:01,699","00:07:03,266",不打扰你们休息了
240,"00:07:03,766","00:07:04,533",快去睡吧
241,"00:07:31,366","00:07:32,166",怎么回事
242,"00:07:33,933","00:07:36,366",我怎么觉得有点热呢
243,"00:07:37,366","00:07:38,133",那个汤
244,"00:07:38,899","00:07:40,133",奶奶给的汤
245,"00:07:40,166","00:07:40,933",有问题
246,"00:07:41,399","00:07:42,166",什么
247,"00:07:56,166","00:07:56,166",广
248,"00:08:03,466","00:08:03,466",2
249,"00:08:10,866","00:08:11,766",我跟你说啊
250,"00:08:12,533","00:08:13,733",就算你求我
251,"00:08:14,066","00:08:14,766",我都不会碰你
252,"00:09:25,166","00:09:25,166",你千什么
253,"00:09:25,200","00:09:25,233",你干什么
254,"00:09:25,266","00:09:25,366",你千什么
255,"00:09:25,399","00:09:25,433",你千干什么
256,"00:09:25,466","00:09:25,466",你干什么
257,"00:09:25,500","00:09:25,566",你千什么
258,"00:09:25,600","00:09:25,633",你干什么
259,"00:09:25,666","00:09:25,733",你千什么
260,"00:09:25,766","00:09:25,933",你干什么
261,"00:09:28,133","00:09:28,899",放手
262,"00:09:47,166","00:09:47,933",陆知行
263,"00:09:47,966","00:09:48,766",你疯了
264,"00:09:50,766","00:09:51,633",冷静点没
265,"00:09:55,799","00:09:57,899",陆总还真是柳下惠
266,"00:09:57,933","00:09:58,033",憨成那样
267,"00:09:58,066","00:09:58,066",憋成那样
268,"00:09:58,100","00:09:58,966",憨成那样
269,"00:09:59,700","00:10:01,233",还能把我扔到浴缸里
270,"00:10:01,333","00:10:02,266",我告诉你
271,"00:10:02,333","00:10:02,966",你别以为
272,"00:10:03,000","00:10:04,133",你刺激我就有用
273,"00:10:04,299","00:10:04,766",没有用
274,"00:10:04,799","00:10:06,299",我根本就不会碰你
275,"00:10:09,366","00:10:10,633",谁稀罕刺激你
276,"00:10:11,333","00:10:11,700",也不知道是谁
277,"00:10:11,733","00:10:14,133",刚才抱着我不撒手
278,"00:10:14,799","00:10:16,066",想要离婚就直说
279,"00:10:16,566","00:10:17,500",用不着羞辱人
280,"00:10:18,733","00:10:20,500",你以为我不想离婚吗
281,"00:10:21,200","00:10:21,966",要是可以
282,"00:10:22,000","00:10:22,700",我巴不得
283,"00:10:22,733","00:10:24,266",明天带你去民政局
284,"00:10:24,799","00:10:25,700",但是不能
285,"00:10:27,266","00:10:28,633",我不能让奶奶受刺激
286,"00:10:32,133","00:10:33,299",那你什么意思
287,"00:10:34,600","00:10:36,033",咱俩互看不顺眼
288,"00:10:37,333","00:10:38,333",还要我
289,"00:10:38,366","00:10:40,133",替你守活寡
290,"00:10:41,766","00:10:42,766",你就这么迫不及待
291,"00:10:42,799","00:10:43,766",跟我离婚是吧
292,"00:10:44,700","00:10:45,433",对啊
293,"00:10:45,766","00:10:47,299",我怕你耽误我的第二春
294,"00:10:52,266","00:10:53,566",以半年为期限
295,"00:10:54,766","00:10:55,766",直到让奶奶觉得
296,"00:10:55,799","00:10:56,233",我们俩
297,"00:10:56,266","00:10:57,366",真没有感情的时候
298,"00:10:57,799","00:10:58,666",我们就离婚
299,"00:10:59,466","00:11:00,766",但是在半年之内
300,"00:11:01,066","00:11:01,100",你必须安分守己
301,"00:11:01,133","00:11:01,466",你必须安分守已
302,"00:11:01,500","00:11:01,633",你必须安分守己
303,"00:11:01,666","00:11:01,666",你必须安分守已
304,"00:11:01,700","00:11:02,466",你必须安分守己
305,"00:11:02,500","00:11:02,866",并且
306,"00:11:02,899","00:11:03,966",在外人面前
307,"00:11:04,000","00:11:05,100",给足我面子
308,"00:11:05,566","00:11:07,033",你还是先管好你自己吧
309,"00:11:07,366","00:11:08,133",到时候
310,"00:11:08,166","00:11:09,733",不要狗仔拍到
311,"00:11:09,766","00:11:11,333",陆总金屋藏娇
312,"00:11:11,866","00:11:13,133",婚内出轨
313,"00:11:14,466","00:11:19,966",你什么意思啊
314,"00:11:20,000","00:11:21,166",我就什么意思
315,"00:11:21,200","00:11:21,966",你
316,"00:11:22,133","00:11:23,466",怎么
317,"00:11:23,899","00:11:24,899",这么大反应
318,"00:11:25,933","00:11:26,766",做贼心虚
319,"00:11:33,100","00:11:33,866",喂
320,"00:11:34,000","00:11:34,299",陆总
321,"00:11:34,333","00:11:35,466",我们项目的策划
322,"00:11:35,500","00:11:36,333",出了点问题
323,"00:11:36,366","00:11:37,333",需要您处理一下
324,"00:11:38,066","00:11:39,366",叫秘书部的人
325,"00:11:39,399","00:11:40,033",去加班
326,"00:11:45,766","00:11:45,766",其享我的位置Qo
327,"00:11:45,799","00:11:45,833",8
328,"00:11:45,866","00:11:45,866",其享我的位置荔鑫此来电号码
329,"00:11:45,899","00:11:45,899",共享我的位量第燕此来电号码
330,"00:11:45,933","00:11:45,933",其享我的位置QO
331,"00:11:45,966","00:11:46,033",其享我的位量
332,"00:11:46,066","00:11:46,066",对享我的位量
333,"00:11:46,133","00:11:46,133",正此票电号码Qo
334,"00:11:46,166","00:11:46,166",共享我的位量
335,"00:11:46,266","00:11:46,266",QO
336,"00:11:46,299","00:11:46,299",共享我的位量联此菜电号码9
337,"00:11:46,333","00:11:46,333",晟此菜电号码9Qo
338,"00:11:46,366","00:11:46,366",电号码QO
339,"00:11:55,500","00:11:56,333",看什么看
340,"00:11:56,733","00:11:58,666",没见过人家擦头发
341,"00:11:58,966","00:11:59,733",等等
342,"00:12:00,166","00:12:01,799",我给我秘书打电话
343,"00:12:02,399","00:12:04,066",你手机为什么会响
344,"00:12:04,733","00:12:05,666",你的秘书
345,"00:12:05,700","00:12:07,366",跟我有什么关系
346,"00:12:08,000","00:12:08,766",你没有见过
347,"00:12:08,799","00:12:09,899",人家按时定闹钟
348,"00:12:10,333","00:12:11,399",抢优惠券的吗
349,"00:12:39,799","00:12:39,799",一
350,"00:12:52,799","00:12:52,799",元大帆红包
351,"00:12:53,100","00:12:53,100",特疗专卖
352,"00:12:53,200","00:12:53,200",enss
353,"00:12:53,233","00:12:53,266",养
354,"00:12:55,133","00:12:56,133",你怎么还不走
355,"00:12:56,399","00:12:57,666",不是说要加班吗
356,"00:12:58,533","00:13:00,166",陆总冷静的倒挺快
357,"00:13:01,566","00:13:02,466",用不着你管
358,"00:13:03,533","00:13:06,066",看来刚才真的是巧合
359,"00:13:15,966","00:13:17,799",多亏我早就准备了两部手机
360,"00:13:18,333","00:13:18,399",刚才着拿手机的时候
361,"00:13:18,433","00:13:18,466",刚牙趁着拿手机的时候
362,"00:13:18,500","00:13:20,333",刚才着拿手机的时候
363,"00:13:20,600","00:13:21,866",把另一部静音了
364,"00:13:22,633","00:13:24,933",这人还挺敏锐
365,"00:13:25,066","00:13:25,299",品
366,"00:13:25,899","00:13:25,899",用
367,"00:13:26,033","00:13:26,066",伊
368,"00:13:28,766","00:13:29,700",喂陆总
369,"00:13:29,799","00:13:30,600",不好意思
370,"00:13:30,799","00:13:32,166",刚才睡着了
371,"00:13:32,500","00:13:34,466",请问你有什么事吗
372,"00:13:34,766","00:13:36,266",以最快的速度回公司
373,"00:13:36,899","00:13:38,000",有紧急事件要处理
374,"00:13:38,233","00:13:38,966",好的陆总
375,"00:13:40,933","00:13:40,966",D
376,"00:13:41,033","00:13:41,066",Q
377,"00:13:55,233","00:13:55,233",福
378,"00:14:24,933","00:14:25,266",陆总
379,"00:14:25,299","00:14:25,299",陆总A
380,"00:14:25,333","00:14:25,533",陆总
381,"00:14:25,566","00:14:26,733",那个不好意思
382,"00:14:26,766","00:14:26,766",我来晚了，
383,"00:14:26,799","00:14:27,600",我来晚了
384,"00:14:29,933","00:14:31,366",以后别那么着急了
385,"00:14:31,566","00:14:32,333",注意安全
386,"00:14:32,833","00:14:34,266",那个文件在里面
387,"00:14:34,299","00:14:35,066",自己去拿吧
388,"00:14:35,100","00:14:35,866",好的陆总
389,"00:14:37,433","00:14:38,600",等一下
390,"00:14:38,633","00:14:39,066",啊
391,"00:14:39,100","00:14:40,533",你用的是什么香水
392,"00:14:40,633","00:14:40,733",怎么跟百天水果味
393,"00:14:40,766","00:14:42,133",怎么跟白天水果味
394,"00:14:42,166","00:14:42,700",不一样
395,"00:14:43,899","00:14:44,733",没有啊
396,"00:14:44,766","00:14:44,833",可能沾上香薰了吧
397,"00:14:44,866","00:14:44,899",可能沾上香蕉了吧
398,"00:14:44,933","00:14:45,100",可能沾上香薰了吧
399,"00:14:45,133","00:14:45,133",可能沾上香蕉了吧
400,"00:14:45,166","00:14:45,366",可能沾上香薰了吧
401,"00:14:45,399","00:14:45,466",可能沾上香蕉了吧
402,"00:14:45,500","00:14:45,500",可能沾上香薰了吧
403,"00:14:45,533","00:14:46,333",可能沾上香熏了吧
404,"00:14:46,366","00:14:46,399",可能沾上香薰了吧
405,"00:14:46,433","00:14:46,466",可能沾上香熏了吧
406,"00:14:46,500","00:14:46,533",可能沾上香薰了吧
407,"00:14:46,566","00:14:46,566",可能沾上香熏了吧
408,"00:14:46,600","00:14:46,600",可能沾上香薰了吧
409,"00:14:46,633","00:14:47,133",可能沾上香熏了吧
410,"00:14:47,700","00:14:48,666",这人
411,"00:14:48,933","00:14:49,966",莫非真的属狗的
412,"00:14:50,200","00:14:51,899",竟然连香水的味道都能闻出来
413,"00:14:52,399","00:14:53,466",我先进去了
414,"00:14:54,733","00:14:56,533",她身上的香水味
415,"00:14:56,966","00:14:58,166",为什么会和我妻子
416,"00:14:58,200","00:14:59,200",用的一模一样
417,"00:15:04,566","00:15:06,366",她身上的香水味
418,"00:15:06,799","00:15:08,000",为什么会和我妻子
419,"00:15:08,033","00:15:09,066",用的一模一样
420,"00:15:11,399","00:15:12,533",哎你这个鞋子
421,"00:15:12,566","00:15:13,333",在哪买的
422,"00:15:14,966","00:15:16,000",出来的太急
423,"00:15:16,200","00:15:17,266",我忘换鞋子了
424,"00:15:19,133","00:15:20,966",您说的是这双鞋
425,"00:15:22,366","00:15:24,866",这是我买的一个a货
426,"00:15:24,899","00:15:25,399",正版
427,"00:15:25,633","00:15:27,000",要花我一个月工资
428,"00:15:27,033","00:15:28,266",我可买不起
429,"00:15:29,966","00:15:30,000",你老公千什么吃的
430,"00:15:30,033","00:15:30,133",你老公干什么吃的
