n_cap,stime,etime,content
1,"00:00:01,233","00:00:02,399",听说昨天晚上
2,"00:00:02,433","00:00:03,633",又加班了一夜
3,"00:00:04,200","00:00:04,966",嗯
4,"00:00:06,799","00:00:06,799",你千什么
5,"00:00:06,833","00:00:06,833",你干什么
6,"00:00:06,866","00:00:06,866",你千什么
7,"00:00:06,900","00:00:07,000",你干什么
8,"00:00:07,033","00:00:07,166",你千什么
9,"00:00:07,200","00:00:07,200",你于什么
10,"00:00:07,233","00:00:07,400",你干什么
11,"00:00:07,433","00:00:07,733",你千什么
12,"00:00:07,799","00:00:08,733",我发现你现在
13,"00:00:08,766","00:00:09,599",越来越不把我
14,"00:00:09,633","00:00:10,633",放在眼里了
15,"00:00:11,000","00:00:11,666",我原来
16,"00:00:12,266","00:00:13,833",也没有把你放眼里过
17,"00:00:15,699","00:00:16,533",别以为陆总
18,"00:00:16,566","00:00:18,233",会喜欢你这个丑八怪
19,"00:00:20,366","00:00:22,066",你不掌镜子照照你自己
20,"00:00:22,233","00:00:23,066",什么东西
21,"00:00:23,633","00:00:24,000",懒蛤想吃天鹅肉
22,"00:00:24,033","00:00:24,133",蛤蟆想吃天鹅肉
23,"00:00:24,166","00:00:24,266",懒蛤想吃天鹅肉
24,"00:00:24,300","00:00:24,433",懒蛤蟆想吃天肉
25,"00:00:24,466","00:00:24,833",懒蛤想吃天鹅肉
26,"00:00:24,866","00:00:24,866",懒蛤蟆想吃天肉
27,"00:00:24,899","00:00:25,066",懒蛤想吃天鹅肉
28,"00:00:25,233","00:00:25,333",你竟然敢骂我是獭蛤蟆
29,"00:00:25,366","00:00:27,566",你竟然敢驾我是懒蛤蟆
30,"00:00:38,266","00:00:38,833",D
31,"00:00:39,433","00:00:41,000",骚扰羞辱女同事
32,"00:00:42,000","00:00:43,466",你好大的胆子
33,"00:00:43,700","00:00:44,466",我
34,"00:00:46,299","00:00:46,333",人
35,"00:00:46,366","00:00:47,933",把他给我送到警局去
36,"00:00:48,600","00:00:50,200",以后燕市所有公司
37,"00:00:50,233","00:00:51,433",都不许录用他
38,"00:00:52,066","00:00:52,833",陆总
39,"00:00:53,299","00:00:54,266",拉出去陆总
40,"00:00:54,633","00:00:55,399",陆总
41,"00:00:56,633","00:00:56,633",他竟然会为我出气
42,"00:00:56,666","00:00:57,433",也竟然会为我出气
43,"00:00:57,466","00:00:57,533",他竟然会为我出气
44,"00:00:57,566","00:00:57,566",也竟然会为我出气
45,"00:00:57,600","00:00:57,600",他竟然会为我出气
46,"00:00:57,633","00:00:57,766",也竟然会为我出气
47,"00:00:57,799","00:00:58,566",他竟然会为我出气
48,"00:00:59,466","00:01:01,066",陆总您怎么来了
49,"00:01:01,966","00:01:02,933",以后在公司
50,"00:01:02,966","00:01:04,166",要是有人欺负你
51,"00:01:04,200","00:01:05,133",你就告诉我
52,"00:01:05,233","00:01:06,966",我不允许我陆知行的人
53,"00:01:07,000","00:01:08,133",被任何人欺负
54,"00:01:09,766","00:01:10,599",好的陆总
55,"00:01:19,299","00:01:20,333",我还有事
56,"00:01:20,833","00:01:22,400",下午你放半天假吧
57,"00:01:22,633","00:01:23,566",昨天晚上加班
58,"00:01:24,266","00:01:25,033",辛苦了
