n_cap,stime,etime,content
11,"00:00:07,433","00:00:07,666",你千什么
11,"00:00:07,433","00:00:07,700",你千什么
11,"00:00:07,433","00:00:07,733",你千什么
12,"00:00:07,799","00:00:07,733",我发现你现在
12,"00:00:07,799","00:00:07,833",我发现你现在
12,"00:00:07,799","00:00:07,866",我发现你现在
12,"00:00:07,799","00:00:07,900",我发现你现在
12,"00:00:07,799","00:00:07,933",我发现你现在
12,"00:00:07,799","00:00:07,966",我发现你现在
12,"00:00:07,799","00:00:08,000",我发现你现在
12,"00:00:07,799","00:00:08,033",我发现你现在
12,"00:00:07,799","00:00:08,066",我发现你现在
12,"00:00:07,799","00:00:08,099",我发现你现在
12,"00:00:07,799","00:00:08,133",我发现你现在
12,"00:00:07,799","00:00:08,166",我发现你现在
12,"00:00:07,799","00:00:08,199",我发现你现在
12,"00:00:07,799","00:00:08,233",我发现你现在
12,"00:00:07,799","00:00:08,266",我发现你现在
12,"00:00:07,799","00:00:08,300",我发现你现在
12,"00:00:07,799","00:00:08,333",我发现你现在
12,"00:00:07,799","00:00:08,366",我发现你现在
12,"00:00:07,799","00:00:08,400",我发现你现在
12,"00:00:07,799","00:00:08,433",我发现你现在
12,"00:00:07,799","00:00:08,466",我发现你现在
12,"00:00:07,799","00:00:08,500",我发现你现在
12,"00:00:07,799","00:00:08,533",我发现你现在
12,"00:00:07,799","00:00:08,566",我发现你现在
12,"00:00:07,799","00:00:08,599",我发现你现在
12,"00:00:07,799","00:00:08,633",我发现你现在
12,"00:00:07,799","00:00:08,666",我发现你现在
12,"00:00:07,799","00:00:08,699",我发现你现在
12,"00:00:07,799","00:00:08,733",我发现你现在
13,"00:00:08,766","00:00:08,733",越来越不把我
13,"00:00:08,766","00:00:08,800",越来越不把我
13,"00:00:08,766","00:00:08,833",越来越不把我
13,"00:00:08,766","00:00:08,866",越来越不把我
13,"00:00:08,766","00:00:08,900",越来越不把我
13,"00:00:08,766","00:00:08,933",越来越不把我
13,"00:00:08,766","00:00:08,966",越来越不把我
13,"00:00:08,766","00:00:09,000",越来越不把我
13,"00:00:08,766","00:00:09,033",越来越不把我
13,"00:00:08,766","00:00:09,066",越来越不把我
13,"00:00:08,766","00:00:09,099",越来越不把我
13,"00:00:08,766","00:00:09,133",越来越不把我
13,"00:00:08,766","00:00:09,166",越来越不把我
13,"00:00:08,766","00:00:09,199",越来越不把我
13,"00:00:08,766","00:00:09,233",越来越不把我
13,"00:00:08,766","00:00:09,266",越来越不把我
13,"00:00:08,766","00:00:09,300",越来越不把我
13,"00:00:08,766","00:00:09,333",越来越不把我
13,"00:00:08,766","00:00:09,366",越来越不把我
13,"00:00:08,766","00:00:09,400",越来越不把我
13,"00:00:08,766","00:00:09,433",越来越不把我
13,"00:00:08,766","00:00:09,466",越来越不把我
13,"00:00:08,766","00:00:09,500",越来越不把我
13,"00:00:08,766","00:00:09,533",越来越不把我
13,"00:00:08,766","00:00:09,566",越来越不把我
13,"00:00:08,766","00:00:09,599",越来越不把我
14,"00:00:09,633","00:00:09,599",放在眼里了
14,"00:00:09,633","00:00:09,666",放在眼里了
14,"00:00:09,633","00:00:09,699",放在眼里了
14,"00:00:09,633","00:00:09,733",放在眼里了
14,"00:00:09,633","00:00:09,766",放在眼里了
14,"00:00:09,633","00:00:09,800",放在眼里了
14,"00:00:09,633","00:00:09,833",放在眼里了
14,"00:00:09,633","00:00:09,866",放在眼里了
14,"00:00:09,633","00:00:09,900",放在眼里了
14,"00:00:09,633","00:00:09,933",放在眼里了
14,"00:00:09,633","00:00:09,966",放在眼里了
14,"00:00:09,633","00:00:10,000",放在眼里了
14,"00:00:09,633","00:00:10,033",放在眼里了
14,"00:00:09,633","00:00:10,066",放在眼里了
14,"00:00:09,633","00:00:10,099",放在眼里了
14,"00:00:09,633","00:00:10,133",放在眼里了
14,"00:00:09,633","00:00:10,166",放在眼里了
14,"00:00:09,633","00:00:10,199",放在眼里了
14,"00:00:09,633","00:00:10,233",放在眼里了
14,"00:00:09,633","00:00:10,266",放在眼里了
14,"00:00:09,633","00:00:10,300",放在眼里了
14,"00:00:09,633","00:00:10,333",放在眼里了
14,"00:00:09,633","00:00:10,366",放在眼里了
14,"00:00:09,633","00:00:10,400",放在眼里了
14,"00:00:09,633","00:00:10,433",放在眼里了
14,"00:00:09,633","00:00:10,466",放在眼里了
14,"00:00:09,633","00:00:10,500",放在眼里了
14,"00:00:09,633","00:00:10,533",放在眼里了
14,"00:00:09,633","00:00:10,566",放在眼里了
14,"00:00:09,633","00:00:10,599",放在眼里了
14,"00:00:09,633","00:00:10,633",放在眼里了
15,"00:00:11,000","00:00:10,633",我原来
15,"00:00:11,000","00:00:11,033",我原来
15,"00:00:11,000","00:00:11,066",我原来
15,"00:00:11,000","00:00:11,099",我原来
15,"00:00:11,000","00:00:11,133",我原来
15,"00:00:11,000","00:00:11,166",我原来
15,"00:00:11,000","00:00:11,199",我原来
15,"00:00:11,000","00:00:11,233",我原来
15,"00:00:11,000","00:00:11,266",我原来
15,"00:00:11,000","00:00:11,300",我原来
15,"00:00:11,000","00:00:11,333",我原来
15,"00:00:11,000","00:00:11,366",我原来
15,"00:00:11,000","00:00:11,400",我原来
15,"00:00:11,000","00:00:11,433",我原来
15,"00:00:11,000","00:00:11,466",我原来
15,"00:00:11,000","00:00:11,500",我原来
15,"00:00:11,000","00:00:11,533",我原来
15,"00:00:11,000","00:00:11,566",我原来
15,"00:00:11,000","00:00:11,599",我原来
15,"00:00:11,000","00:00:11,633",我原来
15,"00:00:11,000","00:00:11,666",我原来
16,"00:00:12,266","00:00:11,666",也没有把你放眼里过
16,"00:00:12,266","00:00:12,300",也没有把你放眼里过
16,"00:00:12,266","00:00:12,333",也没有把你放眼里过
16,"00:00:12,266","00:00:12,366",也没有把你放眼里过
16,"00:00:12,266","00:00:12,400",也没有把你放眼里过
16,"00:00:12,266","00:00:12,433",也没有把你放眼里过
16,"00:00:12,266","00:00:12,466",也没有把你放眼里过
16,"00:00:12,266","00:00:12,500",也没有把你放眼里过
16,"00:00:12,266","00:00:12,533",也没有把你放眼里过
16,"00:00:12,266","00:00:12,566",也没有把你放眼里过
16,"00:00:12,266","00:00:12,599",也没有把你放眼里过
16,"00:00:12,266","00:00:12,633",也没有把你放眼里过
16,"00:00:12,266","00:00:12,666",也没有把你放眼里过
16,"00:00:12,266","00:00:12,699",也没有把你放眼里过
16,"00:00:12,266","00:00:12,733",也没有把你放眼里过
16,"00:00:12,266","00:00:12,766",也没有把你放眼里过
16,"00:00:12,266","00:00:12,800",也没有把你放眼里过
16,"00:00:12,266","00:00:12,833",也没有把你放眼里过
16,"00:00:12,266","00:00:12,866",也没有把你放眼里过
16,"00:00:12,266","00:00:12,900",也没有把你放眼里过
16,"00:00:12,266","00:00:12,933",也没有把你放眼里过
16,"00:00:12,266","00:00:12,966",也没有把你放眼里过
16,"00:00:12,266","00:00:13,000",也没有把你放眼里过
16,"00:00:12,266","00:00:13,033",也没有把你放眼里过
16,"00:00:12,266","00:00:13,066",也没有把你放眼里过
16,"00:00:12,266","00:00:13,099",也没有把你放眼里过
16,"00:00:12,266","00:00:13,133",也没有把你放眼里过
16,"00:00:12,266","00:00:13,166",也没有把你放眼里过
16,"00:00:12,266","00:00:13,199",也没有把你放眼里过
16,"00:00:12,266","00:00:13,233",也没有把你放眼里过
16,"00:00:12,266","00:00:13,266",也没有把你放眼里过
16,"00:00:12,266","00:00:13,300",也没有把你放眼里过
16,"00:00:12,266","00:00:13,333",也没有把你放眼里过
16,"00:00:12,266","00:00:13,366",也没有把你放眼里过
16,"00:00:12,266","00:00:13,400",也没有把你放眼里过
16,"00:00:12,266","00:00:13,433",也没有把你放眼里过
16,"00:00:12,266","00:00:13,466",也没有把你放眼里过
16,"00:00:12,266","00:00:13,500",也没有把你放眼里过
16,"00:00:12,266","00:00:13,533",也没有把你放眼里过
16,"00:00:12,266","00:00:13,566",也没有把你放眼里过
16,"00:00:12,266","00:00:13,599",也没有把你放眼里过
16,"00:00:12,266","00:00:13,633",也没有把你放眼里过
16,"00:00:12,266","00:00:13,666",也没有把你放眼里过
16,"00:00:12,266","00:00:13,699",也没有把你放眼里过
16,"00:00:12,266","00:00:13,733",也没有把你放眼里过
16,"00:00:12,266","00:00:13,766",也没有把你放眼里过
16,"00:00:12,266","00:00:13,800",也没有把你放眼里过
16,"00:00:12,266","00:00:13,833",也没有把你放眼里过
17,"00:00:15,699","00:00:13,833",别以为陆总
17,"00:00:15,699","00:00:15,733",别以为陆总
17,"00:00:15,699","00:00:15,766",别以为陆总
17,"00:00:15,699","00:00:15,800",别以为陆总
17,"00:00:15,699","00:00:15,833",别以为陆总
17,"00:00:15,699","00:00:15,866",别以为陆总
17,"00:00:15,699","00:00:15,900",别以为陆总
17,"00:00:15,699","00:00:15,933",别以为陆总
17,"00:00:15,699","00:00:15,966",别以为陆总
17,"00:00:15,699","00:00:16,000",别以为陆总
17,"00:00:15,699","00:00:16,033",别以为陆总
17,"00:00:15,699","00:00:16,066",别以为陆总
17,"00:00:15,699","00:00:16,100",别以为陆总
17,"00:00:15,699","00:00:16,133",别以为陆总
17,"00:00:15,699","00:00:16,166",别以为陆总
17,"00:00:15,699","00:00:16,199",别以为陆总
17,"00:00:15,699","00:00:16,233",别以为陆总
17,"00:00:15,699","00:00:16,266",别以为陆总
17,"00:00:15,699","00:00:16,300",别以为陆总
17,"00:00:15,699","00:00:16,333",别以为陆总
17,"00:00:15,699","00:00:16,366",别以为陆总
17,"00:00:15,699","00:00:16,399",别以为陆总
17,"00:00:15,699","00:00:16,433",别以为陆总
